"","screenName","location","latitude","longitude","state"
"781","Prettyyy_Hustle","anderson IN",40.1053196,-85.6802541,"Indiana"
"782","_SimplyTi","Boston, MA",42.3600825,-71.0588801,"Massachusetts"
"783","BrianPMarion","Hamilton, NJ",40.2115109,-74.6796651,"New Jersey"
"787","carolinethegeek","SEA (but DCA always)",47.4502499,-122.3088165,"Washington"
"790","beardedandcigar","Byram, MS",32.1793163,-90.2453671,"Mississippi"
"791","yrnanana","alli",36.0505034,-95.7918982,"Oklahoma"
"794","drsamyeedds","Aliso Viejo, CA",33.5684605,-117.7262981,"California"
"797","authoranna","Moline ",41.5067003,-90.5151342,"Illinois"
"798","matt_mollinedo","Rialto, CA",34.1064001,-117.3703235,"California"
"799","heybaldie","Houston, TX",29.7604267,-95.3698028,"Texas"
"803","TootThtThugga_","boo",36.04393,-95.885566,"Oklahoma"
"805","RaquelYasmin_","San Francisco ",37.7749295,-122.4194155,"California"
"809","sonicherosfan","the ol' 818 (SoCal)",34.9592083,-116.419389,"California"
"812","TheOneAndOnlyEd","Los Angeles, CA",34.0522342,-118.2436849,"California"
"817","elisest88634265","Georgia, USA",32.1656221,-82.9000751,"Georgia"
"818","TheLotaChukwu","God's Eye",33.3437322,-84.5434511,"Georgia"
"819","sunflowerseavey","cincinnati",39.1031182,-84.5120196,"Ohio"
"820","Dru8376","Dallas, TX",32.7766642,-96.7969879,"Texas"
