"","screenName","location","latitude","longitude","state"
"359","accioharo","Lenexa, Kansas",38.9536174,-94.7335709,"Kansas"
"360","Zorrobazz","NO r WAY",36.8517159,-94.4523486,"Missouri"
"361","prichvisalia","California, USA",36.778261,-119.4179324,"California"
"362","NFIDvaccines","Bethesda, MD",38.984652,-77.0947092,"Maryland"
"365","eileeniorio","New York, USA",40.7127753,-74.0059728,"New York"
"366","forestglories","Illinois",40.6331249,-89.3985283,"Illinois"
"367","Swagato","Brooklyn, NY",40.6781784,-73.9441579,"New York"
"369","LynnInstitute","Oklahoma City, OK",35.4675602,-97.5164276,"Oklahoma"
"370","kayleneklingert","Boston-ish, MA",42.3600825,-71.0588801,"Massachusetts"
"371","OurTNFarm","Middle Tennessee",35.8486105,-86.3648813,"Tennessee"
"372","ideasurge","Colorado, USA",39.5500507,-105.7820674,"Colorado"
"375","jenniferbyrdAH","Madison, MS",32.4618086,-90.1153638,"Mississippi"
"376","Micwritermcleod","Maryland, USA",39.0457549,-76.6412712,"Maryland"
"378","Snarls_Dickens","Pennsylvania, USA",41.2033216,-77.1945247,"Pennsylvania"
"380","ReconditeAgony","Texas",31.9685988,-99.9018131,"Texas"
"381","LeonKaye","Fresno, CA",36.7377981,-119.7871247,"California"
"382","neph401","URI",41.4860647,-71.5308537,"Rhode Island"
"385","LChamplinAAFP","Leawood, KS",38.966673,-94.6169012,"Kansas"
"386","drugrankings","Seattle, WA",47.6062095,-122.3320708,"Washington"
"387","MelodyButler","Long Island, New York",40.789142,-73.134961,"New York"
"388","__twerkkk","202",36.7902695,-95.9348384,"Oklahoma"
"389","devknows68","Down South",36.252428,-95.334559,"Oklahoma"
"390","GeauxTigers516","Louisiana, USA",30.9842977,-91.9623327,"Louisiana"
"391","MaureenHughes76","Saint Louis, Missouri",38.6270025,-90.1994042,"Missouri"
"392","WRCB","Chattanooga, TN",35.0456297,-85.3096801,"Tennessee"
"393","thecorlew","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"394","thereal_truther","Flat Earth",37.6985324,-97.441091,"Kansas"
