"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"267","I’m so tired of being sick<U+0001F62D> I genuinely think I forgot what it feels like to not be sick. Current sickness: thrush,… https://t.co/KQgEwYhsYj",FALSE,0,NA,"1551149839",TRUE,NA,"1100228288608374784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","corinnenicole51",0,FALSE,FALSE,NA,NA
"268","I'm fucking pissed. If you see those post about jisoo having a swollen lymph nodes. Please take your time to tweet… https://t.co/RTbt1hCu7n",FALSE,1,"hannahdeukie","1551149718",TRUE,"1099937717821988864","1100227781168848896","1072484357573509120","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hannahdeukie",0,FALSE,FALSE,NA,NA
"269","Scientists study tattooed corpses, find pigment in lymph nodes https://t.co/eYYMNQjXyf",FALSE,2,NA,"1551149336",FALSE,NA,"1100226176696664064",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","veradubs",1,FALSE,FALSE,NA,NA
"270","FYI:

SWOLLEN LYMPH NODES LAST FOR 2-4 WEEKS. WAG KAYONG TANGA JAN AT MAGPAPANIWALA NA SA CLARITY LANG NAG APPEAR Y… https://t.co/WHnelbMJoz",FALSE,7,"hannahdeukie","1551149318",TRUE,"1100225463954268160","1100226099814912000","1072484357573509120","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hannahdeukie",3,FALSE,FALSE,NA,NA
"271","Ipasampal ko to sa mga doctor at nang matigil na yang swollen lymph nodes na yan ha. Gigil niyo ko, ginagamit niyo… https://t.co/QaLQaW5Lna",FALSE,5,NA,"1551148984",TRUE,NA,"1100224699437539328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hannahdeukie",0,FALSE,FALSE,NA,NA
"272","Scientists study tattooed corpses, find pigment in lymph nodes https://t.co/tAHVleXCBr",FALSE,0,NA,"1551148880",FALSE,NA,"1100224265595613184",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","swiftnaturals10",0,FALSE,FALSE,NA,NA
"273","@telstar55 my approach is daily magnesium intake. Plus i have a bellicon rebounder. Best lymph system pump there is… https://t.co/9bO2vTHTdY",FALSE,3,"telstar55","1551148851",TRUE,"1098694209765363712","1100224144585584640","1914804978","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","clif_high",0,FALSE,FALSE,NA,NA
"274","@Imgonnatweetyo1 I feel you bro! I just quit cold turkey. It’s tough tho for sure. My lymph nodes are swollen and shit ha",FALSE,1,"Imgonnatweetyo1","1551148658",FALSE,"1100222737191235584","1100223332706729984","1060627227270922240","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iammickloven",0,FALSE,FALSE,NA,NA
"275","Swollen lymph nodes where? https://t.co/ztO1CwQtuw",FALSE,15,NA,"1551148520",FALSE,NA,"1100222753347559424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hannahdeukie",0,FALSE,FALSE,NA,NA
"276","@acturistic ""Viral infections and minor skin infections and irritations can cause lymph nodes to double in size qui… https://t.co/geSRBOhe4v",FALSE,0,"acturistic","1551148070",TRUE,"1099284946366038016","1100220866112057344","1020546065345413120","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hannahdeukie",0,FALSE,FALSE,NA,NA
"277","@hoe4blackpink She doesn't have a swollen lymph nodes.

Viral infections and minor skin infections and irritations… https://t.co/Lg5jyowhFs",FALSE,0,"hoe4blackpink","1551147813",TRUE,"1099560025930919936","1100219788415053824","826606663197089792","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hannahdeukie",0,FALSE,FALSE,NA,NA
"278","Scientists study tattooed corpses, find pigment in lymph nodes https://t.co/zuzeOEtcjn",FALSE,0,NA,"1551147458",FALSE,NA,"1100218302050324480",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","jpaint",0,FALSE,FALSE,NA,NA
"279","@hoe4blackpink Im asking if you can turn this down, because it's giving a lot of people a fake perspective and it m… https://t.co/3ANICfqcbm",FALSE,2,"hoe4blackpink","1551147412",TRUE,"1099560025930919936","1100218105391808512","826606663197089792","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hannahdeukie",0,FALSE,FALSE,NA,NA
"280","i had hellla swollen lymph nodes when i had mono",FALSE,0,"YOONGlSGRL","1551146624",FALSE,"1100214703933059072","1100214800376827904","3355681528","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YOONGlSGRL",0,FALSE,FALSE,NA,NA
"281","<U+672C><U+65E5><U+3082><U+30E9><U+30A4><U+30D5><U+306F><U+7D76><U+8CDB><U+55B6><U+696D><U+4E2D><U+3067><U+3059>!!
<U+6BCE><U+65E5><U+306E><U+75B2><U+308C><U+3092><U+7652><U+3059><U+30E9><U+30A4><U+30D5><U+3092><U+662F><U+975E><U+3054><U+5229><U+7528><U+304F><U+3060><U+3055><U+3044><U+307E><U+305B>!!
<U+305F><U+3060><U+4ECA><U+7D76><U+8CDB><U+4E88><U+7D04><U+53D7><U+4ED8><U+4E2D><U+266A><U+7686><U+69D8><U+306E><U+304A><U+96FB><U+8A71><U+3092><U+304A><U+5F85><U+3061><U+3057><U+3066><U+304A><U+308A><U+307E><U+3059><U+3002>
https://t.co/Q5EMdqicCu",FALSE,0,NA,"1551146470",FALSE,NA,"1100214155032678400",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","lymphlife",0,FALSE,FALSE,NA,NA
"282","@JustCallMeLuke4 @davemeltzerWON Buddy you don't always go through the ringer when you get cancer. I for one, only… https://t.co/ZIQq8sMXhz",FALSE,5,"JustCallMeLuke4","1551146055",TRUE,"1100205422450036736","1100212413843062784","2291976054","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","might_be_a_mark",0,FALSE,FALSE,NA,NA
"283","@seansthirdeye Inner thigh swelling can be lymph nodes. Your immune system could be crying out for help... According to my doctor.",FALSE,1,"kyrasHOH","1551145571",FALSE,"1100208329471729664","1100210384739422208","1022140726178717696","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","IconicLucky",0,FALSE,FALSE,NA,NA
"284","swollen lymph node",FALSE,0,NA,"1551143691",FALSE,NA,"1100202499863076864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mark_tollins",0,FALSE,FALSE,NA,NA
"285","My ears hurt and the lymph nodes in my neck are all swollen. Ugh.",FALSE,15,NA,"1551143291",FALSE,NA,"1100200822787506176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnnaDsays",0,FALSE,FALSE,NA,NA
"286","The rebirth one year after the surgery to remove my breastcancer my mastectomy and lymph node extraction and how I… https://t.co/GJdX16qLwV",FALSE,0,NA,"1551142906",TRUE,NA,"1100199208412430336",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","thenext_step123",0,FALSE,FALSE,NA,NA
