"","screenName","location","latitude","longitude","state"
"696","rilakkumarrr","Plano, TX",33.0198431,-96.6988856,"Texas"
"699","Ben_Kaplan","New York, NY",40.7127753,-74.0059728,"New York"
"700","aetiology","Kent, Ohio",41.1536674,-81.3578859,"Ohio"
"701","marieAn72486017","Louisiana, USA",30.9842977,-91.9623327,"Louisiana"
"702","7emma1","Blanchester, OH",39.2931174,-83.9888205,"Ohio"
"703","debg7089","Nebraska",41.4925374,-99.9018131,"Nebraska"
"706","leftarmisme","The Red Room",38.9843281,-94.6709557,"Kansas"
"707","sarah_martin_19","Knoxville, IA",41.320343,-93.09967,"Iowa"
"710","RadioRebelWeb","roma",36.0766378,-95.9036356,"Oklahoma"
"715","SophApe","Berks County, PA, USA",40.3451566,-75.9927652,"Pennsylvania"
"716","artofperson","South Florida",27.6648274,-81.5157535,"Florida"
"721","tfx47","My Space",40.7070471,-73.9334713,"New York"
"722","AshleyHommerTV","Wausau, WI",44.9591352,-89.6301221,"Wisconsin"
"723","allypeterswaow","Wausau, WI",44.9591352,-89.6301221,"Wisconsin"
"725","EccentricFlower","Greater Bostonia",42.3591393,-71.0544889,"Massachusetts"
"728","DrJenChen4kids","San Diego, CA",32.715738,-117.1610838,"California"
"729","kreest_uh","Philadelphia, PA",39.9525839,-75.1652215,"Pennsylvania"
"735","ssduwu","stay kingdom",38.9434574,-91.9356985,"Missouri"
"739","TakeThatCDC","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"740","margierinee","Pittsburgh, PA",40.4406248,-79.9958864,"Pennsylvania"
"745","lenaweecounty","Michigan, USA",44.3148443,-85.6023643,"Michigan"
"746","yodelhealth","Frisco, CO",39.5744309,-106.0975203,"Colorado"
"750","t_e_knight","Detroit, MI",42.331427,-83.0457538,"Michigan"
"759","CSISpecialty","Sanford, FL",28.8028612,-81.269453,"Florida"
"762","mamalyssa17","Urbandale, IA",41.6266555,-93.7121656,"Iowa"
"765","KellyJoHoes","Minnesota, USA",46.729553,-94.6858998,"Minnesota"
"767","o2real365","Spartanburg, SC",34.9495672,-81.9320482,"South Carolina"
"768","j9duffy","Arlington, MA",42.4153925,-71.1564729,"Massachusetts"
"773","CDCgov","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"776","j_moore30","Antigo, WI",45.140245,-89.1523353,"Wisconsin"
