"","screenName","location","latitude","longitude"
"1827","SABRtooth69","Midwest, USA",35.463494,-97.4107128
"1828","WarlordOfSuna","New World",36.0877711,-95.8614622
"1829","Future_H3ndrix","south burbs/ chicago",41.7396861,-87.5544182
"1830","phoneticspaces","Georgia, USA",32.1656221,-82.9000751
"1831","NikitaTalia16","london, england",51.5073509,-0.1277583
"1832","ClintChasteen","Plano, TX",33.0198431,-96.6988856
"1833","RandomSoju","United States",37.09024,-95.712891
"1834","Steph2Def","The DMV",37.2266829,-95.716216
"1835","chab0ichris","Maryland, USA",39.0457549,-76.6412712
"1836","Keyynahh","A major shady bitch. ",NA,NA
"1837","M0RG4nD0R14n","England, United Kingdom",52.3555177,-1.1743197
"1838","Alakotila","Midwestern United States",38.680588,-90.0200982
"1839","ohmygoderika","VII•XV•MMXIV",NA,NA
"1840","aik6w0","<U+82F1><U+8A9E><U+5FC5><U+52DD><U+6CD5><U+3092><U+7121><U+6599><U+3067><U+77E5><U+308A><U+305F><U+3044><U+65B9><U+306F><U+3053><U+3061><U+3089><U+2193><U+2193>",NA,NA
"1841","mikekuban1962","Temple, TX",31.0982344,-97.342782
"1842","ItsZipTho","904",30.2737055,-97.7497554
"1843","lawal_dunga","House at the end of the street",NA,NA
"1844","___JazzyJas","Southside Raleigh, NC",35.8689245,-78.7288302
"1845","okaydarIing","anthots™ ahf™ DAANN!!™",NA,NA
"1846","GeronimoShyy17","Universe",36.1568902,-95.9915346
"1847","fovvsart","Hogwarts",28.4722475,-81.4736377
"1848","NikolausZeller","Garden Grove, CA",33.7742692,-117.9379952
"1849","iamjustnadine_","Zidotnad",NA,NA
"1850","2ndCaptainFly","Cali",3.4516467,-76.5319854
"1851","fromshinjunseop","Malaysia",4.210484,101.975766
"1852","frangipancakes","pennsylvania somewhere",40.6406162,-76.1858345
"1853","aglossmin","bts, mx, w1, rv, ateez",NA,NA
"1854","jo_bazz","London",51.5073509,-0.1277583
"1855","damngilinsk","Amsterdam, NL ",52.3679843,4.9035614
"1856","LiarAndAGleek","Fandomverse-Charmedville",36.2199362,-115.250465
"1857","DixxieDawn","ÜT: 41.054126,-73.821589",NA,NA
"1858","MarcJWallace","Bishopbriggs, Scotland",55.904185,-4.228494
"1859","SandraxSunshine","Middletown, CT",41.5623209,-72.6506488
"1860","KatieMcCoy113","New Jersey, USA",40.0583238,-74.4056612
"1861","umitshope","dub v",38.882728,-94.8193238
"1862","iriesvibes","5eaux4<U+269C><U+FE0F>|HOWARD<U+0001F498>",NA,NA
"1863","Mr_Stoner_252","MY BAG",32.7932504,-96.7762675
"1864","NorthDaytona","BALTIMORE BOOMIN",39.2903848,-76.6121893
"1865","_deuce_wayne","YellowBrick, DC",38.9071923,-77.0368707
"1866","healingatlas","Healing Atlas",38.9719746,-94.738133
"1867","_theresacarter","Jamaica",18.109581,-77.297508
"1868","BookBoy1268","Chicagoland",41.7435073,-88.0118473
"1869","Dar_nee_quaa","On a plane, come find me",NA,NA
"1870","scardona23","Dominican Republic ",18.735693,-70.162651
"1871","Grainne_Kelly_","Ireland",53.1423672,-7.6920536
"1872","slugittarius","Chicago, IL",41.8781136,-87.6297982
"1873","Go__Cinderella","The Wild, Wild Breast",NA,NA
"1874","LucyLuMerrygold","Doncaster ",53.52282,-1.128462
"1875","_diyanazlkfely_","Washington, USA",47.7510741,-120.7401385
"1876","_sarahkayy","London, England",51.5073509,-0.1277583
"1877","peterscanavinos","jaz<U+0001F499> | he/him/his",NA,NA
"1878","theylove__kynn","OSS<U+0001F975>",NA,NA
"1879","treyonna1227","My Worldd (:",47.5947165,-122.3094951
"1880","dreauxsno","Southampton, England",50.9097004,-1.4043509
"1881","BlackburnReview","NYC/ATL",40.757537,-73.974179
"1882","_syzwnihsni","<U+2661>Z.Zee",NA,NA
"1883","SheepishSophie","Taumarunui, Ruapehu District",-38.8832463,175.260712
"1884","victoriarius_","Washington, DC",38.9071923,-77.0368707
"1885","magickveined","<U+3010> <U+0001D405><U+0001D402> <U+FE62> <U+0001D415><U+0001D402> <U+3011>: <U+0280><U+1D0F>ss <U+029F><U+028F><U+0274><U+1D04><U+029C> |",NA,NA
"1886","HochishlyDavid","Southfield, MI",42.4733688,-83.2218731
"1887","iamdeeq_","London, England",51.5073509,-0.1277583
"1888","LisaKirsten","Nottingham",52.9547832,-1.1581086
"1889","MsAFromBK","Brooklyn, New York",40.6781784,-73.9441579
"1890","robbie_e","Lagos, Nigeria",6.5243793,3.3792057
"1891","clayrussell","Tyler, TX",32.3512601,-95.3010624
"1892","HypeW1lliams","Use to dribble down in Va",NA,NA
"1893","MingMtg","Springfield, Mo",37.2089572,-93.2922989
"1894","Kusku72","Great Falls Montana",47.5052849,-111.3007715
"1895","tinychangki","they/them • 20 • lesbian",NA,NA
"1896","yagirlakira","beyond",37.3398697,-95.2626978
"1897","thechaehyungwon","monsta x <U+0001F497> exo <U+0001F497> sf9 <U+0001F497> ",NA,NA
"1898","dohpressed","MuLTi <U+0001F974>",NA,NA
"1899","deangrl36","Roanoke Virginia ",37.2709704,-79.9414266
"1900","moncties","mx, skz, nct <U+2661> ",NA,NA
"1901","MahmadianAc","Islamic Republic of Iran",32.427908,53.688046
"1902","PathraCadness","Paris, France",48.856614,2.3522219
"1903","Lamar_noKendrck","Atmore, AL",31.0237921,-87.4938708
"1904","tbrock623","Philadelphia, PA",39.9525839,-75.1652215
"1905","im_just_ethan","Maddii's House <U+2764><U+FE0F>",NA,NA
"1906","itsmekylageee","City of Smiles <U+0001F3AD>",38.630315,-90.195939
"1907","FADEDFAlRY","J street",36.343931,-94.197927
"1908","neoculturetiddy","TAEMINTAEMINTAEMINTAEMINTAEMIN",NA,NA
"1909","sirbentok","Charlotte, North Carolina",35.2270869,-80.8431267
"1910","Juliaasluder","Western North Carolina ",35.613225,-82.583049
"1911","kleighflo","abilene, tx",32.4487364,-99.7331439
"1912","donqhyucki","@_shibersann",NA,NA
"1913","NanosYT","Mount Pleasant, TX",33.1567863,-94.968269
"1914","cartermackenzie","New Zealand",-40.900557,174.885971
"1915","TheMarckoguy","Wherever I may roam.",NA,NA
"1916","Kaosi1","Nancy, France",48.692054,6.184417
"1917","KiaChantel","Philadelphia, PA",39.9525839,-75.1652215
"1918","MLeeLunsford","Tacoma, WA",47.2528768,-122.4442906
"1919","ShaQ_NoOneal","- Trill Ent , LA",30.448255,-91.1209121
"1920","meowgustd","Mallorca, Spain <U+0001F1EA><U+0001F1F8>",39.6952629,3.0175712
"1921","TracerRacerX","You know that doc ""Rich Hill""?",38.1033332,-94.3650086
"1922","pikadaeya","exoplanet",NA,NA
"1923","Lymboe","Sacramento, CA",38.5815719,-121.4943996
"1924","_patrizrivera","maureenchristapojaswroblewitz",NA,NA
"1925","JulianPagarigan","KABILANG PANGKALAWAKAN",NA,NA
"1926","JefFullerMyself","Omaha, NE",41.2565369,-95.9345034
"1927","singularitygcf","jordan <U+2661> taegiseok",NA,NA
"1928","M7mad4Najjar","Amman Jordan",31.9453666,35.9283716
"1929","dollykicks","BRISBANE (ig: @dollykicks) ",-27.4697707,153.0251235
"1930","imtotallynotday","Cuddling with Yoongi",NA,NA
"1931","sharinnafermin","QC",37.8753531,-94.3404237
"1932","varricsbianca","Montréal, Québec",45.5016889,-73.567256
"1933","veridon","Fólkvangr",NA,NA
"1934","oldmarkloue","Pasig City • Manila Ph",14.5763768,121.0851097
"1935","AliM20698746","Everywhere",33.7589188,-84.3640829
"1936","_breaddd","the North",35.4617956,-97.649336
"1937","TonyRADSr","Madurai ",9.9252007,78.1197754
"1938","JOSEPHHCANNON","United Kingdom",55.378051,-3.435973
"1939","emahleigh93","Canada",56.130366,-106.346771
"1940","Djspittah","Tampa, FL",27.950575,-82.4571776
"1941","stardustschild","New York, USA",40.7127753,-74.0059728
"1942","kentuckyshaunt1","Boynton Beach, FL",26.5317866,-80.0905465
"1943","jlj_ebooks","Markovia",NA,NA
"1944","emmareallyely","Antarctica",-82.862752,135
"1945","bianca__jay","3rd Rock<U+0001F30D>",NA,NA
"1946","MsMartha_writer","Viña del Mar, Chile",-33.0153481,-71.5500276
"1947","younghojong","<U+C601><U+C6D0><U+D788> <U+AE40><U+C885><U+D604> <U+0001F499> ; she/her ; HUN",NA,NA
"1948","RoyalCatLady","Xbox Live",29.5720936,-98.3224351
"1949","ShawnIsBackk","Louisiana",30.9842977,-91.9623327
"1950","SiN2MESSY","actor + he/they",NA,NA
"1951","kieraaaaakie","Camden, NJ",39.9259463,-75.1196199
"1952","johnnykashboy41","San Francisco, CA",37.7749295,-122.4194155
"1953","MarcStarvaggi","New York, NY",40.7127753,-74.0059728
"1954","pjmsoulie","x x",45.521648,-73.574302
"1955","cynophobiax","middleofmichigan",42.7235854,-84.6449371
"1956","bambiggaveli","LA.",34.0522342,-118.2436849
"1957","LAkintobi","Lagos",6.5243793,3.3792057
"1958","rachhrl","United Kingdom",55.378051,-3.435973
"1959","DoodledStars","World of Light",27.9031001,-82.7187498
"1960","DemonExcaliburX","Bowie, MD",39.0067768,-76.7791365
"1961","MADMANZEN_","VA",37.4315734,-78.6568942
"1962","TheGraysonLand","Kentucky, USA",37.8393332,-84.2700179
"1963","UnwrittenLeaah","Dom Kennedy ",NA,NA
"1964","gwenxvillapando","Batch 2021 <U+2728> DLSL | DLSMHSI <U+2764><U+FE0F>",14.5647294,120.9931816
"1965","KingCromwell23","Pittsburgh, PA",40.4406248,-79.9958864
"1966","jediimasterr","Virginia, USA",37.4315734,-78.6568942
"1967","blakexscofield","bookland",37.0343515,-84.6255403
"1968","antoniabuffy","Knoxville, TN",35.9606384,-83.9207392
"1969","robocryptid","a swamp",29.9572641,-90.0667833
"1970","Minervyy","the west end of tennessee",36.1501362,-86.8069698
"1971","moonbingle","shinee astro mx nct ace",NA,NA
"1972","SharraJayy","Statesboro, GA",32.4487876,-81.7831674
"1973","hbhie18","Bulacan",14.9967842,121.1710389
"1974","lorylopez33","Grand Rapids, MI",42.9633599,-85.6680863
"1975","fronsoir2","Gates of Heaven",39.0835114,-77.0733453
"1976","NardInThePaint","Connecticut Bad Boy",41.6032207,-73.087749
"1977","banderswift","she/her | <U+2E06><U+2E09><U+22AC><U+2D44><U+2602><U+FE0E>",NA,NA
"1978","OmdursVeryOwn","Sudan",12.862807,30.217636
"1979","amovingbody","Sanctuary City",NA,NA
"1980","KAMlDENKl","e j t l e s | they/them |",33.839951,-84.382581
"1981","LaVeuve","alada del mar",NA,NA
"1982","BklynWhyUSOBADD","Ocala . New York ",29.0139919,-82.1793708
"1983","jasmin_yeg","Edmonton, Alberta, Canada",53.544389,-113.4909267
"1984","shore_healing","Canada",56.130366,-106.346771
"1985","alykhanrahemtul","Toronto, Ontario",43.653226,-79.3831843
"1986","superisabel76","Around!",41.4816835,-81.8281446
"1987","froysbesson","<U+0001F1F3><U+0001F1F1>",NA,NA
"1988","OfficialDarku","United Kingdom",55.378051,-3.435973
"1989","HeyItzDeanna","Illinois, USA",40.6331249,-89.3985283
"1990","therealpilanch","New Jersey",40.0583238,-74.4056612
"1991","nellybabe","Australia",-25.274398,133.775136
"1992","FarmFairyCrafts","Oregon, USA",43.8041334,-120.5542012
"1993","MBriston","Newcastle",54.978252,-1.61778
