"","screenName","location","latitude","longitude","state"
"1785","katiepearlman","Long Island",40.789142,-73.134961,"New York"
"1787","MBrenowitz","Roswell, GA",34.0232431,-84.3615555,"Georgia"
"1790","WQYBradio","Delaware",38.9108325,-75.5276699,"Delaware"
"1791","KidCubatao","Racoon city",37.489193,-82.4374874,"Kentucky"
"1792","NextLevelIL","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"1794","Miss_Alderaan","boston",42.3600825,-71.0588801,"Massachusetts"
"1795","KathySylvie","Austin, TX",30.267153,-97.7430608,"Texas"
"1796","JohnS952","Long Island",40.789142,-73.134961,"New York"
"1799","avrilanche","Colorado",39.5500507,-105.7820674,"Colorado"
"1800","themountidadail","Mount Ida , Ar",34.5567637,-93.6340814,"Arkansas"
"1801","CallithAppleton","Second Life",37.8002006,-122.4017511,"California"
"1802","TerryLeeMiller","Tyler,Texas",32.3512601,-95.3010624,"Texas"
"1803","kotyy","Oklahoma City, OK",35.4675602,-97.5164276,"Oklahoma"
"1804","BobInBoulder","Boulder, CO",40.0149856,-105.2705456,"Colorado"
"1806","Kirstinaaker","Minnesota",46.729553,-94.6858998,"Minnesota"
"1807","KristinDykes1","Tennessee, USA",35.5174913,-86.5804473,"Tennessee"
"1808","CasualFolami","North Carolina",35.7595731,-79.0192997,"North Carolina"
"1809","JuanAC33","California, USA",36.778261,-119.4179324,"California"
"1810","Samuel44903790","North Carolina, USA",35.7595731,-79.0192997,"North Carolina"
"1811","lotsgoingon","Owings Mills, MD",39.4195499,-76.7802528,"Maryland"
"1812","Hockeygrrls","Denver, CO",39.7392358,-104.990251,"Colorado"
"1813","devjordan_23","Los Angeles, CA",34.0522342,-118.2436849,"California"
"1814","NWambach","Mount Clemens, MI",42.5972563,-82.8779754,"Michigan"
"1816","CuzzinBailey","St Petersburg, FL",27.7676008,-82.6402915,"Florida"
"1817","Megan_allen22","Mathis, TX",28.0944558,-97.8280543,"Texas"
"1820","laynadaviss","Tifton, GA",31.4504629,-83.5084973,"Georgia"
"1821","GonzaAshlee","San Marcos, Texas",29.8832749,-97.9413941,"Texas"
"1823","Walgreens","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"1824","transita18","Texas, USA",31.9685988,-99.9018131,"Texas"
"1825","EdCara4","New York City",40.7127753,-74.0059728,"New York"
"1828","rissa_roo92","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"1829","kissofkira","Forbidden Forrest, Hogwarts",28.4721051,-81.4737719,"Florida"
"1830","LoriKPoetry","NH",43.1938516,-71.5723953,"New Hampshire"
"1832","CodySexton5477","Wartburg, TN",36.1047979,-84.597162,"Tennessee"
"1833","CallmeMr_CM","C-137",32.3219678,-111.0054195,"Arizona"
"1834","HarveyMultani","San Francisco",37.7749295,-122.4194155,"California"
"1835","caljam1","los angeles",34.0522342,-118.2436849,"California"
"1837","bargaincellar","Ormond Beach",29.2858129,-81.0558894,"Florida"
"1838","FarmersJackie","Skiatook, OK",36.3684245,-96.0013847,"Oklahoma"
"1840","PublicHealthUMN","Minnesota",46.729553,-94.6858998,"Minnesota"
"1841","Queenofriches","Michigan, USA",44.3148443,-85.6023643,"Michigan"
"1842","svetleci_krimic","Belgrade, Republic of Serbia",44.786568,20.4489216,"Michigan"
"1843","greatshades","Western US traveler",32.4409082,-104.2585728,"New Mexico"
"1845","aandreanichole","Crane, TX",31.3973624,-102.3501419,"Texas"
"1846","ReBourneAgain","Tulalip, Washington",48.0652566,-122.2813224,"Washington"
"1847","Mr_GuyWise","PA",41.2033216,-77.1945247,"Pennsylvania"
"1848","GameBros_Show","Miami, FL",25.7616798,-80.1917902,"Florida"
"1849","GirlsATRockShow","Tulsa.... and Tampa ",36.0446901,-95.9582401,"Oklahoma"
"1853","KingdomWaffles","Tennessee, USA",35.5174913,-86.5804473,"Tennessee"
"1854","avaholic65","Colorado.",39.5500507,-105.7820674,"Colorado"
"1855","KatEqlysm","Oregon",43.8041334,-120.5542012,"Oregon"
"1858","afreeze21","Los Angeles, CA",34.0522342,-118.2436849,"California"
"1859","alexisannx","Grand Forks, ND",47.9252568,-97.0328547,"North Dakota"
"1860","graywuvskookies","Hope World (jk New York)",40.7127753,-74.0059728,"New York"
"1861","BenStancliff","Smashville, TN",35.93509,-86.827158,"Tennessee"
"1862","calebjtarrien","<U+0001D657><U+0001D66E> <U+0001D667><U+0001D656><U+0001D663><U+0001D659><U+0001D66E>",36.0828051,-95.8678254,"Oklahoma"
"1864","PB_News","Rochester, MN",44.0121221,-92.4801989,"Minnesota"
"1867","LoriRuder","Cleveland, OH",41.49932,-81.6943605,"Ohio"
"1871","BComptonNHL","Long Island/NYC",40.7127753,-74.0059728,"New York"
"1872","jssra_","Los Angeles, CA",34.0522342,-118.2436849,"California"
"1873","tucksnews","Austin, Texas",30.267153,-97.7430608,"Texas"
"1874","Dear_Njams","London | Nairobi | New York",40.7127753,-74.0059728,"New York"
"1876","Bpramos80","Florida, USA",27.6648274,-81.5157535,"Florida"
"1877","emiilyruiz","New York, USA",40.7127753,-74.0059728,"New York"
"1878","jenoisbigbaby","yas ^-^",37.3041477,-121.9788178,"California"
"1879","peterhassett","Maryland, USA",39.0457549,-76.6412712,"Maryland"
"1880","CoachBalbert","Indianapolis, IN",39.768403,-86.158068,"Indiana"
"1881","jesslag","Pittsburgh",40.4406248,-79.9958864,"Pennsylvania"
"1883","QualityInsights","DE, LA, NJ, PA, WV",40.0583238,-74.4056612,"New Jersey"
"1884","CloroxPro","Pleasanton, CA",37.6624312,-121.8746789,"California"
"1886","MJGarvida","Winterfell",39.9562296,-75.2023233,"Pennsylvania"
"1887","dianacardennas","Morgan Hill, CA",37.1305012,-121.6543901,"California"
"1889","I_Hold_MyOwn","NC- So on the East Coast",35.9065798,-79.7049996,"North Carolina"
"1891","adamwilson0869","On all 10 ",33.9760235,-84.5664807,"Georgia"
"1892","Seni99","Cleveland  Ohio",41.49932,-81.6943605,"Ohio"
"1893","dahnmaralc","Austin, TX",30.267153,-97.7430608,"Texas"
"1894","fardareismai2","Left Coast",41.9340158,-87.6610104,"Illinois"
"1895","AshtynOswald","Kansas, USA",39.011902,-98.4842465,"Kansas"
"1897","hawt_DC","Virginia x Guam",37.4315734,-78.6568942,"Virginia"
"1903","ValorieHigginbo","downtown",37.0347663,-95.6162999,"Kansas"
"1904","fish_scientist","Newark, DE",39.6837226,-75.7496572,"Delaware"
